1,2,21025,27/05/2024, 13:10:02
2,2,769,27/05/2024, 13:10:02
3,2,767,27/05/2024, 13:10:02
4,2,1,27/05/2024, 13:10:02
5,2,0,27/05/2024, 13:10:02
6,2,0,27/05/2024, 13:10:02
1,3,13491,27/05/2024, 13:10:04
2,3,267,27/05/2024, 13:10:04
3,3,265,27/05/2024, 13:10:04
4,3,2,27/05/2024, 13:10:04
5,3,0,27/05/2024, 13:10:04
6,3,0,27/05/2024, 13:10:04
1,4,9982,27/05/2024, 13:10:05
2,4,196,27/05/2024, 13:10:05
3,4,196,27/05/2024, 13:10:05
4,4,0,27/05/2024, 13:10:05
5,4,0,27/05/2024, 13:10:05
6,4,0,27/05/2024, 13:10:05
1,5,6802,27/05/2024, 13:10:07
2,5,162,27/05/2024, 13:10:07
3,5,162,27/05/2024, 13:10:07
4,5,0,27/05/2024, 13:10:07
5,5,0,27/05/2024, 13:10:07
6,5,1,27/05/2024, 13:10:07
1,6,26041,27/05/2024, 13:10:08
2,6,912,27/05/2024, 13:10:08
3,6,901,27/05/2024, 13:10:08
4,6,11,27/05/2024, 13:10:08
5,6,0,27/05/2024, 13:10:08
6,6,43,27/05/2024, 13:10:08
1,7,8364,27/05/2024, 13:10:10
2,7,70,27/05/2024, 13:10:10
3,7,70,27/05/2024, 13:10:10
4,7,0,27/05/2024, 13:10:10
5,7,0,27/05/2024, 13:10:10
6,7,0,27/05/2024, 13:10:10
1,8,10805,27/05/2024, 13:10:11
2,8,520,27/05/2024, 13:10:11
3,8,510,27/05/2024, 13:10:11
4,8,8,27/05/2024, 13:10:11
5,8,0,27/05/2024, 13:10:11
6,8,1,27/05/2024, 13:10:11
1,9,6799,27/05/2024, 13:10:12
2,9,167,27/05/2024, 13:10:12
3,9,167,27/05/2024, 13:10:12
4,9,0,27/05/2024, 13:10:12
5,9,0,27/05/2024, 13:10:12
6,9,0,27/05/2024, 13:10:12
1,10,8139,27/05/2024, 13:10:14
2,10,148,27/05/2024, 13:10:14
3,10,148,27/05/2024, 13:10:14
4,10,0,27/05/2024, 13:10:14
5,10,0,27/05/2024, 13:10:14
6,10,0,27/05/2024, 13:10:14
1,11,7961,27/05/2024, 13:10:16
2,11,265,27/05/2024, 13:10:16
3,11,264,27/05/2024, 13:10:16
4,11,0,27/05/2024, 13:10:16
5,11,0,27/05/2024, 13:10:16
6,11,0,27/05/2024, 13:10:16
1,12,11766,27/05/2024, 13:10:17
2,12,165,27/05/2024, 13:10:17
3,12,121,27/05/2024, 13:10:17
4,12,12,27/05/2024, 13:10:17
5,12,0,27/05/2024, 13:10:17
6,12,32,27/05/2024, 13:10:17
1,13,13759,27/05/2024, 13:10:19
2,13,112,27/05/2024, 13:10:19
3,13,105,27/05/2024, 13:10:19
4,13,3,27/05/2024, 13:10:19
5,13,0,27/05/2024, 13:10:19
6,13,37,27/05/2024, 13:10:19
1,14,24381,27/05/2024, 13:10:21
2,14,679,27/05/2024, 13:10:21
3,14,656,27/05/2024, 13:10:21
4,14,22,27/05/2024, 13:10:21
5,14,0,27/05/2024, 13:10:21
6,14,2,27/05/2024, 13:10:21
